dry_gas,mail_gas,dev_gas,total_gas,dry_temp_rise,mail_temp_rise,dev_temp_rise,total_temp_rise,dry_efficiency,mail_efficiency,dev_efficiency,total_efficiency,batch_id,deviation,start_gas,date,avg_temp,avg_humidity
12800.0,37830.0,6595.0,57225.0,-129.0,87.80000000000001,33.30000000000001,-7.899999999999977,-1.0078125,0.2320909331218609,0.5049279757391966,-0.0138051550895587,export-roasts_PR-5523.xls,2067.15,30,2025-01-20,0.0,95.0
12830.0,37830.0,6865.0,57525.0,-67.3,86.99999999999999,33.19999999999999,52.89999999999998,-0.524551831644583,0.2299762093576526,0.4836125273124543,0.0919600173837461,export-roasts_PR-5546.xls,3604.65,30,2025-01-24,7.5,84.0
12800.0,37950.0,7675.0,58425.0,-124.9,86.7,34.599999999999994,-3.6000000000000085,-0.97578125,0.2284584980237154,0.4508143322475569,-0.0061617458279846,export-roasts_PR-5566.xls,3547.35,100,2025-01-27,8.4,80.0
12800.0,33980.0,4975.0,51755.0,-124.2,89.8,31.69999999999999,-2.700000000000003,-0.9703125,0.2642731018246027,0.637185929648241,-0.0052168872572698,export-roasts_PR-5853.xls,927.95,20,2025-03-06,7.8,79.0
12800.0,33300.0,5499.0,51599.0,-124.4,87.3,34.5,-2.6000000000000085,-0.971875,0.2621621621621621,0.6273867975995636,-0.0050388573421965,export-roasts_PR-5855.xls,1754.799999999998,20,2025-03-06,7.8,79.0
12025.0,30610.0,7585.0,50220.0,-124.9,83.99999999999999,37.0,-3.90000000000002,-1.0386694386694386,0.274420124142437,0.4878048780487805,-0.0077658303464755,export-roasts_PR-5856.xls,2878.3999999999987,20,2025-03-06,7.8,79.0
12800.0,37820.0,6325.0,56945.0,-124.3,87.0,36.10000000000002,-1.1999999999999744,-0.97109375,0.2300370174510841,0.5707509881422929,-0.0021072965141803,export-roasts_PR-6143.xls,2199.5499999999984,100,2025-04-19,9.0,81.0
12800.0,37660.0,4795.0,55255.0,-128.7,90.2,33.79999999999998,-4.700000000000017,-1.00546875,0.2395114179500796,0.7049009384775804,-0.0085060175549724,export-roasts_PR-6144.xls,1107.749999999996,30,2025-04-19,9.0,81.0
12380.0,36090.0,5464.0,53934.0,-124.4,86.0,36.70000000000002,-1.6999999999999886,-1.0048465266558968,0.2382931559988916,0.6716691068814059,-0.0031520005933177,export-roasts_PR-6314.xls,1912.4000000000135,20,2025-05-06,9.3,76.0
12800.0,37800.0,5757.0,56357.0,-123.1,86.10000000000001,37.29999999999998,0.2999999999999971,-0.96171875,0.2277777777777778,0.6479068959527529,0.0005323207409904,export-roasts_PR-6315.xls,2127.149999999995,20,2025-05-06,9.3,76.0
12800.0,37610.0,4035.0,54445.0,-127.1,90.7,32.900000000000006,-3.499999999999986,-0.99296875,0.2411592661526189,0.8153655514250312,-0.0064285058315731,export-roasts_PR-6326.xls,1369.2499999999948,30,2025-05-10,14.5,61.0
12800.0,37590.0,3975.0,54365.0,-124.3,90.4,32.5,-1.4000000000000057,-0.97109375,0.2404894918861399,0.8176100628930818,-0.0025751862411478,export-roasts_PR-6505.xls,1545.3500000000004,30,2025-05-26,14.3,70.0
12800.0,37690.0,4658.0,55148.0,-124.6,88.6,35.0,-1.0000000000000142,-0.9734375,0.2350756168745025,0.7513954486904251,-0.0018133023863059,export-roasts_PR-6518.xls,1418.0999999999945,20,2025-05-28,14.1,86.0
12800.0,37900.0,6285.0,56985.0,-123.79999999999998,87.3,38.0,1.5000000000000142,-0.9671875,0.2303430079155672,0.6046141607000796,0.0026322716504343,export-roasts_PR-6519.xls,3113.2499999999923,20,2025-05-28,14.1,86.0
12800.0,37640.0,4339.0,54779.0,-125.7,89.20000000000002,33.80000000000001,-2.6999999999999744,-0.98203125,0.2369819341126461,0.7789813321041718,-0.004928896109823,export-roasts_PR-6520.xls,1590.849999999994,20,2025-05-28,14.1,86.0
12800.0,37760.0,5287.0,55847.0,-125.5,88.99999999999999,36.5,-2.8421709430404014e-14,-0.98046875,0.2356991525423728,0.6903726120673349,-5.0892097033688484e-17,export-roasts_PR-6521.xls,2364.699999999996,20,2025-05-28,14.1,86.0
12800.0,37640.0,4233.0,54673.0,-124.4,90.0,33.69999999999999,-0.700000000000017,-0.971875,0.2391073326248672,0.7961256791873372,-0.0012803394728659,export-roasts_PR-6522.xls,1588.9000000000065,20,2025-05-28,14.1,86.0
12800.0,37640.0,4147.0,54587.0,-121.0,91.1,32.599999999999994,2.700000000000003,-0.9453125,0.242029755579171,0.786110441282855,0.0049462326194881,export-roasts_PR-6552.xls,1454.0499999999977,20,2025-06-06,15.0,79.0
12800.0,37520.0,3026.0,53346.0,-124.8,92.5,31.0,-1.2999999999999972,-0.9750000000000002,0.2465351812366738,1.0244547257105088,-0.0024369212312075,export-roasts_PR-6553.xls,2168.5999999999785,20,2025-06-06,15.0,79.0
12800.0,37710.0,4626.0,55136.0,-122.0,88.8,34.79999999999998,1.59999999999998,-0.953125,0.2354813046937152,0.7522697795071333,0.0029019152640742,export-roasts_PR-6573.xls,1370.1,50,2025-06-09,14.4,76.0
12420.0,34200.0,3603.0,50223.0,-123.5,88.8,32.599999999999994,-2.1000000000000085,-0.9943639291465378,0.2596491228070175,0.9048015542603384,-0.004181351173765,export-roasts_PR-6574.xls,1833.05,50,2025-06-09,14.4,76.0
12800.0,37540.0,2917.0,53257.0,-120.9,91.0,30.099999999999994,0.2000000000000028,-0.94453125,0.2424080980287692,1.0318820706205003,0.0003755374880297,export-roasts_PR-6575.xls,1877.25,50,2025-06-09,14.4,76.0
12800.0,37550.0,2781.0,53131.0,-121.3,91.5,30.0,0.1999999999999886,-0.94765625,0.2436750998668441,1.0787486515641855,0.0003764280740057,export-roasts_PR-6576.xls,1698.7499999999989,50,2025-06-09,14.4,76.0
12800.0,38000.0,7980.0,58780.0,-130.1,87.5,40.19999999999999,-2.4000000000000057,-1.01640625,0.2302631578947368,0.5037593984962405,-0.0040830214358625,export-roasts_PR-6577.xls,4667.100000000006,50,2025-06-09,14.4,76.0
12800.0,37920.0,7135.0,57855.0,-119.9,86.3,39.0,5.399999999999992,-0.93671875,0.227584388185654,0.5466012613875262,0.009333679025149,export-roasts_PR-6578.xls,3451.000000000005,100,2025-06-12,18.5,70.0
12800.0,37720.0,5085.0,55605.0,-123.5,89.00000000000001,36.0,1.5000000000000142,-0.96484375,0.235949098621421,0.7079646017699115,0.0026975991367683,export-roasts_PR-6579.xls,1711.0499999999874,30,2025-06-12,18.5,70.0
12800.0,37690.0,5155.0,55645.0,-126.7,88.30000000000001,32.5,-5.899999999999992,-0.98984375,0.234279649774476,0.6304558680892337,-0.0106029292838529,export-roasts_PR-7170.xls,1487.7999999999986,30,2025-08-28,17.6,80.0
12800.0,37860.0,6540.0,57200.0,-118.7,85.89999999999999,37.6,4.799999999999997,-0.92734375,0.2268885367142102,0.5749235474006116,0.0083916083916083,export-roasts_PR-7186.xls,2565.75,100,2025-08-30,17.4,78.0
12800.0,37730.0,4941.0,55471.0,-123.1,88.1,35.5,0.5,-0.96171875,0.2335011926848661,0.7184780408824125,0.0009013718880135,export-roasts_PR-7187.xls,1678.6499999999996,30,2025-08-30,17.4,78.0
12800.0,37720.0,5330.0,55850.0,-123.4,87.19999999999999,35.5,-0.700000000000017,-0.9640625,0.2311770943796394,0.6660412757973734,-0.0012533572068039,export-roasts_PR-7188.xls,1971.149999999996,100,2025-08-30,17.4,78.0
12800.0,37760.0,5785.0,56345.0,-125.7,87.69999999999999,36.1,-1.90000000000002,-0.98203125,0.2322563559322033,0.6240276577355228,-0.0033720827047653,export-roasts_PR-7391.xls,2152.3999999999987,20,2025-09-17,14.7,85.0
12800.0,37600.0,3689.0,54089.0,-125.0,89.4,33.0,-2.6000000000000085,-0.9765625000000002,0.2377659574468085,0.8945513689346707,-0.0048068923440995,export-roasts_PR-7392.xls,1482.1499999999994,20,2025-09-17,14.7,85.0
12800.0,37810.0,6319.0,56929.0,-120.6,86.19999999999999,32.900000000000006,-1.5000000000000142,-0.9421875000000002,0.2279820153398571,0.5206520018990347,-0.0026348609671696,export-roasts_PR-7396.xls,2412.05,100,2025-09-18,18.2,90.0
12800.0,37710.0,5425.0,55935.0,-114.3,86.10000000000001,34.5,6.299999999999997,-0.89296875,0.228321400159109,0.6359447004608295,0.0112630732099758,export-roasts_PR-7397.xls,2192.95,100,2025-09-18,18.2,90.0
12800.0,37830.0,6505.0,57135.0,-122.0,84.50000000000001,36.400000000000006,-1.09999999999998,-0.953125,0.2233676975945017,0.5595695618754805,-0.0019252647238995,export-roasts_PR-7399.xls,2581.9999999999977,100,2025-09-18,18.2,90.0
12800.0,37770.0,6055.0,56625.0,-123.9,86.3,35.80000000000001,-1.7999999999999972,-0.96796875,0.2284882181625628,0.5912469033856319,-0.0031788079470198,export-roasts_PR-7454.xls,2009.3499999999967,100,2025-09-26,12.2,73.0
12800.0,37740.0,5695.0,56235.0,-125.3,87.5,35.30000000000001,-2.499999999999986,-0.97890625,0.2318494965553789,0.6198419666374014,-0.0044456299457632,export-roasts_PR-7455.xls,1730.4499999999969,30,2025-09-26,12.2,73.0
12800.0,37760.0,5875.0,56435.0,-124.2,86.8,35.89999999999998,-1.5000000000000142,-0.9703125,0.2298728813559321,0.6110638297872337,-0.0026579250465137,export-roasts_PR-7456.xls,1987.4999999999968,100,2025-09-26,12.2,73.0
12800.0,37670.0,5245.0,55715.0,-125.4,88.6,34.5,-2.299999999999997,-0.9796875,0.2352004247411733,0.657769304099142,-0.0041281522031768,export-roasts_PR-7457.xls,1452.0499999999956,30,2025-09-26,12.2,73.0
12800.0,37620.0,4310.0,54730.0,-127.1,89.60000000000001,33.69999999999999,-3.799999999999997,-0.99296875,0.2381711855396066,0.781902552204176,-0.0069431755892563,export-roasts_PR-7458.xls,1433.2999999999845,30,2025-09-26,12.2,73.0
12800.0,38000.0,7197.0,57997.0,-125.5,84.60000000000001,34.900000000000006,-5.999999999999986,-0.98046875,0.2226315789473684,0.4849242740030569,-0.0103453626911736,export-roasts_PR-7459.xls,5950.1,100,2025-09-26,12.2,73.0
12800.0,37750.0,5785.0,56335.0,-125.4,87.69999999999999,35.30000000000001,-2.4000000000000057,-0.9796875,0.2323178807947019,0.6101987899740711,-0.004260228987308,export-roasts_PR-7505.xls,1945.7499999999943,30,2025-10-02,11.4,79.0
12800.0,37800.0,6235.0,56835.0,-128.70000000000002,88.69999999999999,35.19999999999999,-4.80000000000004,-1.00546875,0.2346560846560846,0.5645549318364071,-0.008445500131961,export-roasts_PR-8253.xls,2552.2499999999964,30,2025-12-18,9.1,80.0
12800.0,37590.0,4255.0,54645.0,-126.1,89.0,32.0,-5.1000000000000085,-0.98515625,0.2367650971002926,0.7520564042303173,-0.0093329673346143,export-roasts_PR-8364.xls,1446.8500000000006,30,2025-12-27,1.4,89.0
12800.0,37600.0,4435.0,54835.0,-126.4,88.9,32.400000000000006,-5.099999999999994,-0.9875,0.2364361702127659,0.7305524239007893,-0.0093006291602078,export-roasts_PR-8368.xls,1455.149999999997,30,2025-12-27,1.4,89.0
12800.0,37560.0,3985.0,54345.0,-125.5,89.7,31.90000000000001,-3.899999999999992,-0.98046875,0.2388178913738019,0.8005018820577167,-0.0071763731714048,export-roasts_PR-8370.xls,1719.9999999999964,30,2025-12-27,1.4,89.0
12800.0,37850.0,6865.0,57515.0,-130.0,86.19999999999999,36.400000000000006,-7.400000000000006,-1.015625,0.2277410832232496,0.5302257829570285,-0.0128662088150917,export-roasts_PR-8454.xls,2679.0999999999985,100,2026-01-12,,
12800.0,37820.0,6415.0,57035.0,-126.9,87.7,34.30000000000001,-4.899999999999992,-0.99140625,0.2318878900052882,0.5346843335931413,-0.008591215920049,export-roasts_PR-8491.xls,2456.4999999999995,100,2026-01-16,,
11600.0,11310.0,2628.0,25538.0,-102.3,74.9,34.5,7.1000000000000085,-0.881896551724138,0.6622458001768348,1.3127853881278535,0.0278017072597697,export-roasts_PR-8515.xls,9945.45,100,2026-01-20,,
12800.0,37860.0,6955.0,57615.0,-126.3,86.2,36.0,-4.1000000000000085,-0.98671875,0.2276809297411516,0.5176132278936018,-0.007116202377853,export-roasts_PR-8627.xls,2764.199999999998,100,2026-01-30,,
12800.0,37860.0,6955.0,57615.0,-127.5,87.39999999999999,36.0,-4.1000000000000085,-0.99609375,0.230850501848917,0.5176132278936018,-0.007116202377853,export-roasts_PR-8642.xls,3000.7499999999995,100,2026-02-04,,
12800.0,37680.0,5245.0,55725.0,-130.8,89.80000000000001,33.900000000000006,-7.099999999999994,-1.021875,0.2383227176220806,0.6463298379408962,-0.0127411395244504,export-roasts_PR-8643.xls,1579.749999999998,30,2026-02-04,,
12800.0,37650.0,4885.0,55335.0,-131.7,89.99999999999999,32.69999999999999,-9.000000000000014,-1.02890625,0.2390438247011951,0.6693961105424767,-0.0162645703442667,export-roasts_PR-8644.xls,1476.8499999999983,30,2026-02-04,,
12800.0,38000.0,11675.0,62475.0,-127.1,82.10000000000001,41.80000000000001,-3.1999999999999744,-0.99296875,0.2160526315789473,0.3580299785867238,-0.0051220488195277,export-roasts_PR-8645.xls,7036.349999999999,100,2026-02-05,,
12800.0,38000.0,8795.0,59595.0,-132.3,85.0,37.900000000000006,-9.400000000000006,-1.03359375,0.2236842105263157,0.4309266628766345,-0.0157731353301451,export-roasts_PR-8646.xls,4536.4,30,2026-02-05,,
12800.0,37910.0,7405.0,58115.0,-134.4,88.79999999999998,33.099999999999994,-12.500000000000028,-1.05,0.2342389870746504,0.4469952734638757,-0.0215090768304224,export-roasts_PR-8647.xls,4127.25,30,2026-02-05,,
12800.0,37790.0,6325.0,56915.0,-129.6,89.8,31.30000000000001,-8.499999999999986,-1.0125,0.2376290023815824,0.4948616600790516,-0.0149345515242027,export-roasts_PR-8648.xls,2748.75,30,2026-02-05,,
12800.0,38000.0,10185.0,60985.0,-126.1,83.0,40.20000000000002,-2.8999999999999773,-0.98515625,0.2184210526315789,0.3946980854197351,-0.0047552676887758,export-roasts_PR-8662.xls,5639.0,100,2026-02-06,,
12800.0,37730.0,5311.0,55841.0,-130.39999999999998,89.6,34.69999999999999,-6.099999999999994,-1.0187499999999998,0.2374768089053803,0.6533609489738277,-0.0109238731398076,export-roasts_PR-8671.xls,1861.3499999999967,30,2026-02-07,,
12800.0,37700.0,5515.0,56015.0,-123.2,88.8,34.10000000000002,-0.2999999999999687,-0.9625,0.2355437665782493,0.6183136899365371,-0.0005355708292421,export-roasts_PR-8738.xls,1757.2999999999977,30,2026-02-12,,
12800.0,37410.0,2365.0,52575.0,-126.79999999999998,96.3,25.600000000000023,-4.899999999999963,-0.990625,0.2574178027265437,1.0824524312896415,-0.0093200190204469,export-roasts_PR-8875.xls,2188.5499999999984,30,2026-02-21,,
12580.0,30870.0,3895.0,47345.0,-127.1,91.2,27.30000000000001,-8.59999999999998,-1.0103338632750396,0.2954324586977648,0.7008985879332481,-0.0181645369099165,export-roasts_PR-8880.xls,1754.4500000000005,30,2026-02-21,,
